name,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
104,587735430689325181,191.94159148,50.38125882,3650,40,5,38,STAR,21.406862,20.570272,20.472855,20.313244,20.069681
105,588010360146821249,149.83974592,4.90940786,2126,41,5,205,STAR,19.4879,18.980761,18.638288,18.554466,18.366545
106,588017704018706493,213.80758603,11.26966722,3836,41,4,429,STAR,19.438068,19.034542,18.8825,18.630409,18.659685
107,587729774753742881,201.31164877,-1.35897395,2333,40,6,30,STAR,18.750622,18.439571,18.573704,18.472858,18.53759
108,587739610236125327,179.71260624,33.23849509,4623,40,6,141,STAR,19.523094,19.19383,19.133759,19.110207,18.922604
109,587742576456958085,220.00372474,16.34985949,5314,40,3,279,STAR,25.448681,20.282434,19.811651,19.82737,19.563202
110,588848898850029588,205.30805159,-0.88750922,756,44,1,598,STAR,17.555431,17.605927,17.388632,16.968342,17.107548
111,588010878771790070,209.06807842,4.29801621,2247,41,3,322,STAR,24.795656,21.146442,20.027391,19.987478,20.237614
112,587733412593926272,215.99153593,52.01293622,3180,40,6,74,STAR,19.759321,19.35471,19.327444,19.46146,19.197989
113,587736962385379344,219.03810581,31.57409801,4007,40,2,89,STAR,19.070456,18.838936,18.663086,18.293921,18.185804
114,587729971255574859,229.89220242,-1.68165765,2379,40,4,138,STAR,20.194004,19.975492,19.652443,19.674078,19.614952
115,587732134307692563,167.15188724,50.26128117,2883,40,1,126,STAR,19.156748,19.144285,18.881609,18.826097,18.858753
116,587724241762779246,40.03385509,-7.87128559,1045,40,4,40,GALAXY,19.728788,19.362532,18.680826,18.190157,17.76955
117,587726014549524603,219.96343127,1.5861056,1458,40,2,635,STAR,19.32765,19.239857,19.126446,19.121464,19.008575
118,587727222487515230,0.59086496,15.24849176,1739,40,4,306,STAR,18.949453,18.826227,18.792919,18.508396,18.388599
119,588848899894804732,139.23859558,-0.17680442,756,44,3,156,STAR,20.008188,19.853752,19.787943,19.524347,19.603109
120,587742013286449231,191.20942837,21.78407504,5183,40,2,387,STAR,19.971012,19.665321,19.700617,19.73333,19.543188
121,587741726577197147,181.15256029,25.30917445,5116,40,4,79,STAR,22.771049,19.392033,18.789705,18.549238,18.388741
122,588007003653603432,238.43789376,50.50873403,1345,41,1,567,STAR,18.751802,18.565796,18.213022,18.093384,18.043922
123,587742774030565504,200.907423,16.46025365,5360,40,3,357,GALAXY,19.520716,19.042801,18.01457,17.669102,17.316587
124,588010358537191580,152.08952399,3.65814927,2126,41,2,220,STAR,20.039576,19.453552,19.062929,18.947582,18.548393
125,587732134306906219,164.55435889,49.66002987,2883,40,1,114,STAR,20.163942,19.568127,19.578773,19.615137,19.481474
126,588010878219714561,174.1821685,4.17205853,2247,41,2,90,STAR,18.7896,18.59547,18.560629,18.457026,18.587362
127,587725816960516208,232.26768546,57.94796931,1412,40,2,322,STAR,17.531887,17.465374,17.470827,17.465078,17.597208
128,587736541488480347,231.36394477,6.16979919,3909,40,2,240,STAR,19.4949,19.376974,19.152981,19.160307,19.113201
129,587742014893391928,182.0707005,23.30883831,5183,40,5,331,STAR,18.58333,18.380199,18.14917,18.146587,18.054043
130,587738372210491568,128.32249957,24.98088704,4335,40,4,121,STAR,22.131767,19.113703,18.467175,18.251657,18.193285
131,587742863676670030,182.22344115,17.00042712,5381,40,2,184,STAR,18.071993,17.893633,17.628019,17.650726,17.71052
132,587725818569949199,229.79232174,60.73815865,1412,40,5,304,STAR,19.29888,19.32902,19.331085,19.294622,19.131409
133,587722983371178173,226.87297937,0.12072852,752,40,4,556,STAR,19.280769,19.211199,19.210623,18.997272,18.987356
134,587731679583862813,139.10047881,44.15479403,2777,40,2,215,STAR,18.879324,18.599648,18.583601,18.433903,18.296249
135,587728918983147676,209.96079988,62.94921545,2134,40,4,55,GALAXY,19.847239,19.435892,18.813843,18.549837,18.090193
136,587725551198077001,125.961375,50.60551782,1350,40,3,149,STAR,19.405708,19.05962,18.848114,18.802704,18.772427
137,587729228226428939,241.88181587,53.11798335,2206,40,4,141,STAR,19.244905,19.039597,18.979094,19.073582,19.050735
138,587725473880866857,151.61642901,60.51211643,1332,40,3,30,GALAXY,18.185129,17.972492,17.681662,17.445385,17.514009
139,587738948274946095,132.45409372,27.94410411,4469,40,5,151,STAR,19.201286,17.959145,17.862373,17.728233,17.59421
140,587735665842782218,212.2672973,54.17325857,3705,40,3,99,STAR,19.296869,18.709009,18.541653,18.520664,18.343277
141,587739608081170500,160.18662419,29.29134171,4623,40,2,27,STAR,20.603363,20.445551,20.478813,20.185366,19.8557
142,587741391033532452,139.20200477,23.55402785,5038,40,3,89,STAR,20.091255,19.847137,19.681164,19.810938,19.548117
143,587730818437152890,340.67103166,-8.12444394,2576,40,6,127,STAR,18.449772,18.446659,18.44874,18.047718,18.014818
144,587742190440284255,180.53761739,24.93383792,5224,40,4,180,STAR,19.699694,19.339754,18.896873,18.722836,18.753145
145,587731870166155446,161.3322121,53.47167709,2821,40,5,110,STAR,20.29355,19.500641,19.079226,18.643763,18.426281
146,587739648351141920,155.27339737,29.64190121,4632,40,5,98,STAR,19.305361,19.148216,18.814936,18.847702,18.888336
147,588018056727298154,226.40812897,45.3297649,3918,41,5,191,STAR,19.020979,18.765074,18.82394,18.975363,18.932808
148,587726033870782505,206.56496585,3.27660155,1462,40,6,542,STAR,19.316521,19.222876,18.977362,19.111879,18.961224
149,587729227688968234,239.95518986,53.85033378,2206,40,3,132,STAR,19.237568,19.12644,19.047569,19.026125,19.138811
150,588017724401188965,186.64580971,6.67443443,3841,41,2,145,STAR,19.068478,19.04542,18.950594,19.056017,18.984037
151,587726879962628223,348.3244096,-8.37734076,1659,40,6,287,GALAXY,19.611835,19.219269,18.513245,18.152634,17.81695
152,587736807224967170,200.76430555,13.328554,3971,40,1,17,STAR,19.305202,19.191904,19.149708,18.865011,18.885212
153,587741490894733468,134.11037891,20.69368151,5061,40,5,138,STAR,19.587347,19.306007,19.261869,19.111385,18.867622
154,587726877813768203,345.01860179,-9.90910497,1659,40,2,266,STAR,19.517691,19.107492,19.008755,18.68445,18.788876
155,587735695367864452,176.02680219,56.51148147,3712,40,2,56,STAR,22.275785,19.740538,19.215414,19.15572,19.106655
